,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,115.0,81.0,4.0
RSI,54.84,50.01,61.72,54.55
ROC,5.99,-0.28,14.89,6.32
ADOSC,1990767.07,23835.52,4894929.23,-269234.56
ATR,2.48,1.68,2.27,29.73
EMA,134.45,91.56,124.73,1564.45
Sharpe_ratio,0.68,0.12,1.49,0.64
average_returns,0.0,0.0,0.0,0.0
label,0.45,0.0,1.0,2.0
