,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,119.0,4.0,77.0
RSI,53.13,48.42,57.58,60.19
ROC,5.24,-2.38,11.52,16.67
ADOSC,1654170.26,-151917.81,2099811.69,4422247.07
ATR,2.68,1.96,28.94,2.42
EMA,127.24,93.67,1465.5,109.59
Sharpe_ratio,0.5,-0.05,0.98,1.34
average_returns,0.0,-0.0,0.0,0.0
label,0.79,0.0,1.0,2.0
