,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,90.0,106.0,4.0
RSI,42.7,48.83,37.5,42.35
ROC,-14.15,-2.4,-24.04,-16.34
ADOSC,-4083443.45,-422921.61,-7275510.49,-1855408.31
ATR,3.88,2.81,3.04,50.6
EMA,126.21,107.82,93.31,1411.91
Sharpe_ratio,-0.74,-0.02,-1.36,-0.79
average_returns,-0.0,-0.0,-0.0,-0.0
label,0.57,0.0,1.0,2.0
