,Overall,KM_1,KM_2,KM_3
Seg_size,195.0,59.0,130.0,6.0
RSI,41.36,33.87,44.69,42.93
ROC,-26.08,-50.31,-15.4,-19.19
ADOSC,-419777.76,-6893650.27,2463216.73,775087.96
ATR,5.92,3.07,5.07,52.37
EMA,142.7,61.75,122.71,1372.08
Sharpe_ratio,-0.61,-1.22,-0.33,-0.56
average_returns,-0.0,-0.01,-0.0,-0.0
label,0.73,0.0,1.0,2.0
