,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,110.0,83.0,6.0
RSI,51.52,56.76,44.66,50.32
ROC,1.62,8.89,-7.93,0.39
ADOSC,404301.19,1853979.49,-1555603.18,938876.23
ATR,2.67,1.98,2.0,24.48
EMA,135.1,109.31,85.93,1287.98
Sharpe_ratio,0.31,0.9,-0.46,0.12
average_returns,0.0,0.0,-0.0,0.0
label,0.48,0.0,1.0,2.0
