,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,195.0,6.0,91.0,45.0,53.0
RSI,41.36,42.93,41.34,32.71,48.57
ROC,-26.08,-19.19,-25.23,-54.49,-4.21
ADOSC,-419777.76,775087.96,780773.42,-8969022.15,4642423.1
ATR,5.92,52.37,4.67,2.61,5.61
EMA,142.7,1372.08,110.15,50.26,137.92
Sharpe_ratio,-0.61,-0.56,-0.64,-1.3,0.03
average_returns,-0.0,-0.0,-0.0,-0.01,0.0
label,1.74,0.0,1.0,2.0,3.0
