,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,90.0,39.0,4.0,67.0
RSI,42.7,40.83,33.81,42.35,50.39
ROC,-14.15,-16.32,-33.75,-16.34,0.32
ADOSC,-4083443.45,-3772939.38,-12867434.09,-1855408.31,479513.69
ATR,3.88,3.02,2.87,50.6,2.85
EMA,126.21,100.09,77.27,1411.91,113.03
Sharpe_ratio,-0.74,-0.97,-1.77,-0.79,0.16
average_returns,-0.0,-0.0,-0.01,-0.0,0.0
label,1.24,0.0,1.0,2.0,3.0
