,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,197.0,75.0,112.0,6.0,4.0
RSI,55.74,62.95,50.27,57.28,71.55
ROC,8.35,18.54,0.63,7.2,35.19
ADOSC,2716240.96,3637256.5,157558.8,642081.59,60201539.05
ATR,2.5,2.02,1.86,20.99,1.73
EMA,144.81,106.37,106.21,1378.49,95.93
Sharpe_ratio,0.8,1.63,0.16,0.89,2.91
average_returns,0.0,0.0,0.0,0.0,0.0
label,0.69,0.0,1.0,2.0,3.0
