,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,198.0,71.0,28.0,93.0,6.0
RSI,50.78,58.1,40.11,48.27,53.01
ROC,-0.37,9.77,-19.65,-2.66,5.05
ADOSC,679360.88,2732596.84,-6507052.35,1273162.46,715405.89
ATR,2.9,2.35,1.79,2.15,26.16
EMA,139.57,123.39,56.89,98.96,1346.13
Sharpe_ratio,0.22,1.08,-0.95,-0.09,0.36
average_returns,0.0,0.0,-0.0,-0.0,0.0
label,1.17,0.0,1.0,2.0,3.0
