,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,114.0,81.0,4.0,1.0
RSI,54.84,49.96,61.54,54.55,70.23
ROC,5.99,-0.34,13.68,6.32,103.76
ADOSC,1990767.07,-11803.87,2630293.67,-269234.56,187522206.6
ATR,2.48,1.69,2.27,29.73,1.25
EMA,134.45,91.77,125.27,1564.45,22.57
Sharpe_ratio,0.68,0.11,1.47,0.64,2.57
average_returns,0.0,0.0,0.0,0.0,0.01
label,0.46,0.0,1.0,2.0,3.0
