,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,54.0,81.0,5.0,59.0
RSI,60.1,49.45,60.34,58.59,69.66
ROC,13.44,-1.54,13.63,12.59,26.94
ADOSC,4340290.08,-179761.29,6470520.84,2400634.94,5717109.73
ATR,2.73,1.96,2.12,28.97,2.05
EMA,127.73,78.75,102.46,1319.49,106.27
Sharpe_ratio,1.36,0.14,1.35,1.06,2.51
average_returns,0.0,0.0,0.0,0.0,0.0
label,1.35,0.0,1.0,2.0,3.0
