,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,96.0,55.0,42.0,6.0
RSI,51.52,51.16,60.25,41.09,50.32
ROC,1.62,1.24,13.91,-13.44,0.39
ADOSC,404301.19,1470100.26,1364192.36,-3365179.16,938876.23
ATR,2.67,2.14,2.05,1.57,24.48
EMA,135.1,107.46,111.16,64.92,1287.98
Sharpe_ratio,0.31,0.25,1.3,-0.83,0.12
average_returns,0.0,0.0,0.0,-0.0,0.0
label,0.79,0.0,1.0,2.0,3.0
