,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,58.0,58.0,4.0,80.0
RSI,42.7,34.98,51.08,42.35,42.22
ROC,-14.15,-29.75,1.37,-16.34,-13.97
ADOSC,-4083443.45,-10734564.94,660807.55,-1855408.31,-2812364.1
ATR,3.88,2.57,2.73,50.6,3.34
EMA,126.21,73.16,109.03,1411.91,112.83
Sharpe_ratio,-0.74,-1.66,0.25,-0.79,-0.8
average_returns,-0.0,-0.01,0.0,-0.0,-0.0
wtd_sentiment,0.11,0.1,0.12,0.16,0.1
label,1.53,0.0,1.0,2.0,3.0
