,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,41.0,66.0,5.0,87.0
RSI,60.1,48.03,69.2,58.59,58.97
ROC,13.44,-3.95,25.47,12.59,12.55
ADOSC,4340290.08,-521871.1,8622628.89,2400634.94,3494457.02
ATR,2.73,1.89,1.97,28.97,2.19
EMA,127.73,74.7,103.31,1319.49,102.76
Sharpe_ratio,1.36,-0.01,2.46,1.06,1.19
average_returns,0.0,-0.0,0.0,0.0,0.0
wtd_sentiment,0.15,0.17,0.17,0.17,0.12
label,1.69,0.0,1.0,2.0,3.0
