,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,106.0,1.0,4.0,89.0
RSI,54.84,59.99,70.23,54.55,48.55
ROC,5.99,11.82,103.76,6.32,-2.05
ADOSC,1990767.07,2495283.75,187522206.6,-269234.56,-593167.77
ATR,2.48,2.1,1.25,29.73,1.73
EMA,134.45,116.86,22.57,1564.45,92.38
Sharpe_ratio,0.68,1.29,2.57,0.64,-0.05
average_returns,0.0,0.0,0.01,0.0,-0.0
wtd_sentiment,0.12,0.12,0.11,0.19,0.12
label,1.38,0.0,1.0,2.0,3.0
