,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,105.0,90.0,4.0,1.0
RSI,53.13,47.65,59.2,57.58,64.85
ROC,5.24,-3.41,14.46,11.52,57.29
ADOSC,1654170.26,-582798.47,2970814.24,2099811.69,116255362.71
ATR,2.68,1.94,2.4,28.94,0.54
EMA,127.24,92.26,109.84,1465.5,12.71
Sharpe_ratio,0.5,-0.14,1.22,0.98,2.03
average_returns,0.0,-0.0,0.0,0.0,0.01
wtd_sentiment,0.1,0.09,0.09,0.14,0.65
label,0.51,0.0,1.0,2.0,3.0
