,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,195.0,91.0,45.0,6.0,53.0
RSI,41.36,41.34,32.71,42.93,48.57
ROC,-26.08,-25.23,-54.49,-19.19,-4.21
ADOSC,-419777.76,780773.42,-8969022.15,775087.96,4642423.1
ATR,5.92,4.67,2.61,52.37,5.61
EMA,142.7,110.15,50.26,1372.08,137.92
Sharpe_ratio,-0.61,-0.64,-1.3,-0.56,0.03
average_returns,-0.0,-0.0,-0.01,-0.0,0.0
wtd_sentiment,0.04,0.05,0.03,0.06,0.02
label,1.11,0.0,1.0,2.0,3.0
