,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,198.0,91.0,75.0,6.0,26.0
RSI,50.78,47.99,57.76,53.01,39.93
ROC,-0.37,-3.08,9.37,5.05,-20.22
ADOSC,679360.88,739522.76,3282336.6,715405.89,-7048107.59
ATR,2.9,2.17,2.3,26.16,1.83
EMA,139.57,99.41,120.33,1346.13,57.17
Sharpe_ratio,0.22,-0.12,1.04,0.36,-0.97
average_returns,0.0,-0.0,0.0,0.0,-0.0
wtd_sentiment,0.1,0.08,0.11,0.12,0.13
label,0.83,0.0,1.0,2.0,3.0
