,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,93.0,40.0,60.0,6.0
RSI,51.52,50.83,40.85,59.83,50.32
ROC,1.62,0.72,-13.74,13.38,0.39
ADOSC,404301.19,1469998.3,-3512658.84,1310319.87,938876.23
ATR,2.67,2.13,1.34,2.22,24.48
EMA,135.1,104.74,56.35,119.36,1287.98
Sharpe_ratio,0.31,0.22,-0.85,1.25,0.12
average_returns,0.0,0.0,-0.0,0.0,0.0
wtd_sentiment,0.11,0.1,0.14,0.11,0.12
label,0.89,0.0,1.0,2.0,3.0
