,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,52.0,76.0,51.0,20.0
RSI,51.52,51.09,58.8,41.83,49.71
ROC,1.62,1.11,11.74,-12.07,-0.58
ADOSC,404301.19,-66083.85,1443060.41,-2732693.99,5679355.01
ATR,2.67,2.55,3.26,2.47,1.24
EMA,135.1,123.06,176.69,115.39,58.58
Sharpe_ratio,0.31,0.23,1.13,-0.76,0.1
average_returns,0.0,0.0,0.0,-0.0,0.0
label,1.2,0.0,1.0,2.0,3.0
