,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,56.0,13.0,69.0,62.0
RSI,53.13,44.43,54.51,52.72,61.17
ROC,5.24,-7.86,6.74,3.39,18.81
ADOSC,1654170.26,-1872134.18,1410844.43,1419914.16,5150943.72
ATR,2.68,1.81,14.82,1.61,2.11
EMA,127.24,84.45,709.02,82.04,94.2
Sharpe_ratio,0.5,-0.52,0.62,0.45,1.46
average_returns,0.0,-0.0,0.0,0.0,0.0
label,1.69,0.0,1.0,2.0,3.0
