,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,197.0,60.0,49.0,54.0,34.0
RSI,55.74,65.19,55.92,46.23,53.94
ROC,8.35,21.92,8.25,-4.07,4.26
ADOSC,2716240.96,7996153.5,930085.9,-875396.61,1677278.41
ATR,2.5,2.2,1.36,1.59,6.11
EMA,144.81,117.97,69.95,92.21,383.62
Sharpe_ratio,0.8,1.9,0.83,-0.3,0.56
average_returns,0.0,0.0,0.0,-0.0,0.0
label,1.31,0.0,1.0,2.0,3.0
