,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,60.0,41.0,51.0,48.0
RSI,54.84,56.29,44.89,64.26,51.52
ROC,5.99,7.83,-6.62,18.03,1.68
ADOSC,1990767.07,1790677.33,-2607475.56,6749531.85,1112357.25
ATR,2.48,2.73,2.49,2.85,1.79
EMA,134.45,145.51,130.81,160.29,96.26
Sharpe_ratio,0.68,0.86,-0.49,1.78,0.3
average_returns,0.0,0.0,-0.0,0.0,0.0
label,1.44,0.0,1.0,2.0,3.0
