,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,35.0,48.0,67.0,49.0
RSI,60.1,65.89,69.69,58.28,49.05
ROC,13.44,16.55,28.85,12.29,-2.31
ADOSC,4340290.08,13991527.41,3828701.51,3049827.98,-287793.46
ATR,2.73,1.28,2.61,4.25,1.8
EMA,127.73,77.7,129.08,193.21,72.62
Sharpe_ratio,1.36,2.06,2.5,1.1,0.09
average_returns,0.0,0.0,0.0,0.0,0.0
label,1.65,0.0,1.0,2.0,3.0
