,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,198.0,32.0,47.0,56.0,63.0
RSI,50.78,54.44,59.68,42.4,49.75
ROC,-0.37,6.34,11.21,-13.74,-0.54
ADOSC,679360.88,659571.29,3760672.25,-3085179.69,1736914.91
ATR,2.9,7.82,1.78,2.13,1.92
EMA,139.57,395.75,99.37,82.84,89.84
Sharpe_ratio,0.22,0.62,1.26,-0.72,0.08
average_returns,0.0,0.0,0.0,-0.0,0.0
label,1.76,0.0,1.0,2.0,3.0
