,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,78.0,78.0,24.0,20.0
RSI,42.7,36.77,49.55,39.82,42.5
ROC,-14.15,-24.98,-1.1,-21.43,-14.04
ADOSC,-4083443.45,-3827530.39,237689.38,-21093849.44,-1521435.25
ATR,3.88,2.51,2.56,1.89,16.81
EMA,126.21,75.81,101.94,57.88,499.4
Sharpe_ratio,-0.74,-1.46,0.06,-1.02,-0.77
average_returns,-0.0,-0.0,0.0,-0.0,-0.0
label,0.93,0.0,1.0,2.0,3.0
