,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date,Sharpe_ratio,average_returns,wtd_sentiment,label
0,MMM,Industrials,43.166580711707056,-7.478129997178062,2315893.153294328,3.6397190476190486,204.105625,2018-04-01,2018-07-01,-0.6314998897384093,-0.0010224601045635306,-0.24661813186813186,0
1,AOS,Industrials,47.03757225433525,-3.992858302223667,-21538.01951064792,1.2515063492063487,63.02296875,2018-04-01,2018-07-01,-0.30635876892974706,-0.0005043056542517379,0.09463186813186812,0
2,AYI,Industrials,39.672293942403186,-15.219140996561055,854773.826494158,3.4107825396825406,121.83046875,2018-04-01,2018-07-01,-1.177261247092834,-0.0024244082190183515,0.09463186813186812,0
3,ALK,Industrials,52.47469066366705,4.571428571428582,-333556.8220381155,1.6147222222222215,61.918906250000006,2018-04-01,2018-07-01,0.4109724901941678,0.0009571152239664544,0.09463186813186812,0
4,ALLE,Industrials,44.11293552262715,-7.063911580970683,1062633.120678395,1.6045126984126972,80.08265624999999,2018-04-01,2018-07-01,-0.6077839118496673,-0.0010137958726679133,0.09463186813186812,0
5,AAL,Industrials,37.563131313131315,-23.744475693049413,-7240965.4712535525,1.41513492063492,44.07796875,2018-04-01,2018-07-01,-1.54047421194225,-0.003975169174767184,0.09463186813186812,0
6,AME,Industrials,47.16295960054471,-3.3485132601125067,734300.4475683451,1.3348301587301583,74.07953125000002,2018-04-01,2018-07-01,-0.2821706100109794,-0.00042848747010171967,0.09463186813186812,0
7,ARNC,Industrials,35.6211003970505,-22.96195652173911,-7427479.604668055,0.5368174603174604,19.34765625,2018-04-01,2018-07-01,-0.9781523400467425,-0.003540123170758136,0.09463186813186812,0
8,CHRW,Industrials,43.3576189738025,-9.291987422747482,-603683.532995344,1.935990476190476,89.23921874999998,2018-04-01,2018-07-01,-0.6195261428637832,-0.0012969424292169802,0.09463186813186812,0
9,CAT,Industrials,46.34471718249733,-5.712697199249427,-6553071.80165112,3.796388888888888,149.41953125000003,2018-04-01,2018-07-01,-0.3551193508126909,-0.0007100727946769553,-0.30403063186813184,0
10,CTAS,Industrials,60.19923549171782,10.515944106055164,714749.2116379775,2.695146031746032,179.98874999999995,2018-04-01,2018-07-01,1.3657111628527403,0.0016079944620708956,0.09463186813186812,1
11,CSX,Industrials,61.27744510978042,16.51443185970041,4879259.3270811625,1.2575682539682542,61.77937500000001,2018-04-01,2018-07-01,1.3822864781264086,0.0025500648159172802,0.09463186813186812,1
12,CMI,Industrials,38.020299841698474,-16.20991620991621,-1112074.6454813848,3.4176714285714285,149.67890625,2018-04-01,2018-07-01,-1.3604474825488453,-0.002532959854934137,0.09463186813186812,0
13,DE,Industrials,45.606725146198855,-7.917270451850866,-766506.3390388498,4.089676190476192,147.37484375,2018-04-01,2018-07-01,-0.4210934050196454,-0.0010221636797776038,0.09463186813186812,0
14,DAL,Industrials,46.965499874087115,-4.639076034648704,-105494.89148597606,1.2508380952380946,53.34390625000001,2018-04-01,2018-07-01,-0.3028707737314157,-0.0005465895892289019,-0.01303813186813185,0
15,DOV,Industrials,34.16678307026121,-23.64660477730259,96551.35560346117,2.1284952380952378,84.13937500000002,2018-04-01,2018-07-01,-0.4100330248603354,-0.0006940608738470398,0.09463186813186812,0
16,ETN,Industrials,46.47213585266682,-3.797142489380878,2072123.5225951925,1.4518396825396829,77.35015624999996,2018-04-01,2018-07-01,-0.2594455858418525,-0.00039118316328938367,0.09463186813186812,0
17,EMR,Industrials,53.396674584323044,4.3150271575135735,3290420.186862638,1.3813888888888888,70.2778125,2018-04-01,2018-07-01,0.5286135956778826,0.0008474053880097637,0.09463186813186812,0
18,EFX,Industrials,56.89280868385347,8.8386254893432,1071610.0670445263,2.106438095238094,118.50218750000002,2018-04-01,2018-07-01,0.8541467817346461,0.00147130881454096,0.4677568681318681,1
19,ABT,Health Care,53.97142857142857,4.7758117161999625,12804364.766262084,1.0563079365079358,60.62515625,2018-04-01,2018-07-01,0.6151915366752869,0.0008674758674870591,0.2821318681318681,1
20,ABBV,Health Care,50.74272874797153,1.3011152416356977,-5396700.751738459,2.3559507936507926,97.66234374999998,2018-04-01,2018-07-01,0.2354280152676209,0.0005160643926103835,0.09463186813186812,0
21,AET,Health Care,59.2901122781601,9.15472012372851,3288027.16755539,2.415793650793648,178.2328125,2018-04-01,2018-07-01,1.1877184095737559,0.001463596638737059,0.4650568681318682,1
22,A,Health Care,47.38753278192454,-4.019866521806613,592494.9455109418,1.4086761904761913,65.24953125000002,2018-04-01,2018-07-01,-0.21662103734591254,-0.0004792061353076759,0.09463186813186812,0
23,ALXN,Health Care,56.79250240868879,14.276509572901318,1768520.3471136126,3.463831746031744,116.87093749999998,2018-04-01,2018-07-01,0.7709810674133989,0.002378012979633193,0.09463186813186812,1
24,ALGN,Health Care,65.00950828579191,40.97820264535004,2317477.779384636,10.031498412698415,298.3,2018-04-01,2018-07-01,2.0140066159474075,0.005634054345281261,0.09463186813186812,1
25,AGN,Health Care,51.54181969371492,2.742343008565973,512646.52374811383,4.445738095238095,160.54234375,2018-04-01,2018-07-01,0.2869182295312375,0.0006642106056514267,0.09463186813186812,0
26,ABC,Health Care,51.4850354123829,3.1450344744163417,912737.958756812,2.6099984126984115,87.86234375000004,2018-04-01,2018-07-01,0.30559433963532445,0.0007482348678484081,0.09463186813186812,0
27,AMGN,Health Care,58.92375818251829,11.165311653116515,556127.8690016564,3.4681634920634927,176.88578125000004,2018-04-01,2018-07-01,1.2465510806243147,0.0018436876528715293,-0.35150563186813183,1
