,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,55.0,78.0,67.0
RSI,42.7,51.31,42.93,35.36
ROC,-14.15,1.72,-12.79,-28.75
ADOSC,-4083443.45,1021695.91,-4164519.96,-8179841.92
ATR,3.88,2.67,5.78,2.68
EMA,126.21,106.97,180.1,79.26
Sharpe_ratio,-0.74,0.27,-0.72,-1.61
average_returns,-0.0,0.0,-0.0,-0.0
wtd_sentiment,0.11,0.11,0.11,0.1
label,1.06,0.0,1.0,2.0
