,Overall,KM_1,KM_2,KM_3
Seg_size,198.0,70.0,37.0,91.0
RSI,50.78,56.92,53.97,44.76
ROC,-0.37,8.09,5.76,-9.37
ADOSC,679360.88,3775990.55,253485.8,-1529503.94
ATR,2.9,1.36,7.79,2.1
EMA,139.57,73.94,394.14,86.53
Sharpe_ratio,0.22,0.95,0.54,-0.47
average_returns,0.0,0.0,0.0,-0.0
wtd_sentiment,0.1,0.1,0.09,0.1
label,1.11,0.0,1.0,2.0
