,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,73.0,36.0,90.0
RSI,60.1,67.45,63.91,52.61
ROC,13.44,25.18,15.04,3.27
ADOSC,4340290.08,3810111.21,14452798.7,725320.62
ATR,2.73,3.22,1.12,2.97
EMA,127.73,152.72,65.86,132.21
Sharpe_ratio,1.36,2.22,1.83,0.47
average_returns,0.0,0.0,0.0,0.0
wtd_sentiment,0.15,0.15,0.17,0.14
label,1.09,0.0,1.0,2.0
