,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,71.0,77.0,51.0
RSI,51.52,50.54,58.74,42.0
ROC,1.62,0.43,11.63,-11.83
ADOSC,404301.19,1224126.15,1686772.28,-2673303.62
ATR,2.67,3.82,2.36,1.54
EMA,135.1,190.88,128.77,66.99
Sharpe_ratio,0.31,0.17,1.13,-0.74
average_returns,0.0,0.0,0.0,-0.0
wtd_sentiment,0.11,0.1,0.11,0.13
label,0.9,0.0,1.0,2.0
