,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,59.0,64.0,77.0
RSI,53.13,44.61,61.17,52.99
ROC,5.24,-7.6,18.83,3.77
ADOSC,1654170.26,-1765306.66,5098523.66,1411449.75
ATR,2.68,2.08,3.45,2.51
EMA,127.24,96.37,157.84,125.45
Sharpe_ratio,0.5,-0.5,1.46,0.48
average_returns,0.0,-0.0,0.0,0.0
wtd_sentiment,0.1,0.08,0.11,0.1
label,1.09,0.0,1.0,2.0
