,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,56.0,76.0,68.0
RSI,54.84,63.78,47.63,55.55
ROC,5.99,17.53,-3.12,6.68
ADOSC,1990767.07,6373450.48,-1032662.3,1760625.34
ATR,2.48,2.88,2.27,2.4
EMA,134.45,157.38,119.34,132.45
Sharpe_ratio,0.68,1.73,-0.16,0.77
average_returns,0.0,0.0,-0.0,0.0
wtd_sentiment,0.12,0.1,0.11,0.13
label,1.06,0.0,1.0,2.0
