,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date,Sharpe_ratio,average_returns,wtd_sentiment,label
0,MMM,Industrials,39.775238632623314,-24.16111111111111,-7041437.913851816,5.703590163934427,157.33693548387103,2020-01-01,2020-04-01,-0.8313472346840638,-0.0036921787245931923,0.08439052197802198,1
1,AOS,Industrials,41.57645466847091,-20.849905798618387,611182.4274779395,1.7834786885245917,42.61483870967739,2020-01-01,2020-04-01,-0.8955047240993897,-0.0032615601263329013,0.03957802197802198,1
2,AYI,Industrials,35.95710344109531,-38.6433636558986,-84972.6092049682,5.273959016393444,109.67032258064518,2020-01-01,2020-04-01,-1.0276905605475053,-0.006545846135975826,0.03957802197802198,0
3,ALK,Industrials,29.682702149437056,-58.23676103858003,-2627271.6318363342,2.984652459016393,54.37951612903226,2020-01-01,2020-04-01,-1.505687402794493,-0.011851709738241187,-0.557721978021978,0
4,ALLE,Industrials,40.95026305798123,-26.61296754127124,1090333.8157442557,5.072952459016394,119.64016129032262,2020-01-01,2020-04-01,-0.8412739146393268,-0.004153480648646049,0.03957802197802198,1
5,AAL,Industrials,35.47111416781292,-58.09556548642145,-48516315.747894704,1.6669442622950819,22.78983870967742,2020-01-01,2020-04-01,-1.0700466362609309,-0.010789616195847902,0.03957802197802198,0
6,AME,Industrials,39.81311057624239,-28.5515873015873,1021077.3254799828,3.845614754098361,90.2203225806452,2020-01-01,2020-04-01,-0.6780696369090757,-0.004170179342305216,0.03957802197802198,1
7,ARNC,Industrials,35.1894374282434,-49.08053265694357,2881247.0248099267,1.3475475409836069,27.123548387096786,2020-01-01,2020-04-01,-1.2131851831133642,-0.00909637387460877,0.03957802197802198,0
8,CHRW,Industrials,42.499677544176436,-14.942824103816,889592.1377600268,2.6752426229508184,71.84854838709677,2020-01-01,2020-04-01,-0.6974705314411077,-0.0021794689181561717,0.03957802197802198,1
9,CAT,Industrials,40.767707050698654,-22.91237627051086,1610901.9067807503,4.9983868852459015,127.7333870967742,2020-01-01,2020-04-01,-0.6876791966541803,-0.0033355211983546024,-0.16457197802197798,1
10,CTAS,Industrials,38.789953813276966,-36.031611211640026,1348062.0495450506,11.253657377049183,261.3364516129033,2020-01-01,2020-04-01,-1.0103842855700371,-0.00603190139846414,0.03957802197802198,0
11,CSX,Industrials,42.77135838413247,-21.710616204399514,291203.4735486768,2.7927622950819666,70.04798387096774,2020-01-01,2020-04-01,-0.4723272565337285,-0.002792041849365771,0.03957802197802198,1
12,CMI,Industrials,40.15924136697083,-24.53714030782957,1027259.532046832,6.178870491803278,155.92080645161283,2020-01-01,2020-04-01,-0.6664653943410243,-0.003552605316106721,0.03957802197802198,1
13,DE,Industrials,42.88916654417169,-21.88171435033361,-1508234.5144459694,6.718888524590162,158.184193548387,2020-01-01,2020-04-01,-0.5329923703033832,-0.002936497063865669,0.03957802197802198,1
14,DAL,Industrials,33.94041478050321,-51.67682926829268,-14681223.008142127,2.92122786885246,49.56645161290322,2020-01-01,2020-04-01,-1.1300271374230468,-0.009335801497888872,0.314440521978022,0
15,DOV,Industrials,40.563929164995116,-28.176606485838967,-190968.1192049421,4.372170491803279,106.02709677419351,2020-01-01,2020-04-01,-0.703906222159893,-0.004146161137548328,0.03957802197802198,1
16,ETN,Industrials,44.55753801939887,-18.963179305309275,215606.6498450907,4.257993442622952,91.67467741935484,2020-01-01,2020-04-01,-0.2810262047278889,-0.001881146123846996,0.03957802197802198,1
17,EMR,Industrials,37.042828598731646,-38.50025813113061,206168.89328441792,2.8550360655737697,65.8435483870968,2020-01-01,2020-04-01,-0.9292570902292632,-0.006256983755830834,0.03957802197802198,0
18,EFX,Industrials,44.76972184222527,-16.110681929910797,2163237.13063069,5.970881967213115,145.44403225806454,2020-01-01,2020-04-01,-0.4639304411577471,-0.002129750628996595,0.09717802197802196,1
19,ABT,Health Care,46.73542309566347,-9.246693502012661,5203181.602787588,3.2519262295081983,83.43967741935484,2020-01-01,2020-04-01,-0.16289019321862452,-0.000783140136277614,0.03957802197802198,1
20,ABBV,Health Care,44.2124415179345,-14.919039642657724,6596907.181677718,3.5314622950819663,85.17693548387095,2020-01-01,2020-04-01,-0.4390292252075231,-0.0018377110121194523,0.03957802197802198,1
21,A,Health Care,43.70552578406395,-16.672484002326936,1359258.3558498174,3.0167131147540984,80.32274193548388,2020-01-01,2020-04-01,-0.5051913175326849,-0.002271180650843637,0.03957802197802198,1
22,ALXN,Health Care,43.14990512333965,-16.737759643916913,617543.4394744844,4.1291721311475404,98.14290322580648,2020-01-01,2020-04-01,-0.6434014925034229,-0.0024854616129662017,0.03957802197802198,1
23,ALGN,Health Care,39.384734449066436,-38.68090806542583,570206.6081820056,13.806472131147544,239.45854838709687,2020-01-01,2020-04-01,-0.9083312015068642,-0.006337208782398054,0.03957802197802198,0
24,AGN,Health Care,44.999339410754395,-7.8755722014149026,499188.8086300059,4.178524590163935,188.2906451612903,2020-01-01,2020-04-01,-0.3811306530445442,-0.0010299320528909662,0.03957802197802198,1
25,ABC,Health Care,51.12618545837725,4.019746121297607,3269623.152814906,4.143404918032787,88.11983870967742,2020-01-01,2020-04-01,0.29568198450062005,0.0015676561131335346,-0.5949969780219782,1
26,AMGN,Health Care,44.08196877078516,-15.564348188254895,972935.865943498,8.347598360655741,218.42548387096767,2020-01-01,2020-04-01,-0.4368112166082212,-0.001981939231255841,0.03957802197802198,1
