,symbol,start_date,sector
0,ADSK,2018-04-01,Information Technology
1,AMZN,2018-04-01,Consumer Discretionary
2,AMD,2018-04-01,Information Technology
15,AMZN,2018-07-01,Consumer Discretionary
14,AMD,2018-07-01,Information Technology
13,BHF,2018-07-01,Financials
19,NEM,2018-10-01,Materials
7,AZO,2019-01-01,Consumer Discretionary
5,BHF,2019-01-01,Financials
6,COTY,2019-01-01,Consumer Staples
8,APC,2019-04-01,Energy
10,AZO,2019-04-01,Consumer Discretionary
9,CSX,2019-04-01,Industrials
4,CMG,2019-07-01,Consumer Discretionary
3,DHI,2019-07-01,Consumer Discretionary
18,GOOGL,2019-10-01,Information Technology
16,AMD,2019-10-01,Information Technology
17,DVN,2019-10-01,Energy
11,CTXS,2020-01-01,Information Technology
12,AMZN,2020-01-01,Consumer Discretionary
