date,symbol,sector_name,sentiment,senti_label
2018-06-01T00:00:00.000-07:00,AAPL,Information Technology,0.9201,positive
2018-06-01T00:00:00.000-07:00,EFX,Industrials,0.9337,positive
2018-06-03T00:00:00.000-07:00,AAPL,Information Technology,-0.25,negative
2018-06-04T00:00:00.000-07:00,AAPL,Information Technology,0.3182,positive
2018-06-04T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.0,neutral
2018-06-05T00:00:00.000-07:00,AAPL,Information Technology,0.9153,positive
2018-06-05T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9766,positive
2018-06-06T00:00:00.000-07:00,AAPL,Information Technology,0.926,positive
2018-06-07T00:00:00.000-07:00,XOM,Energy,0.891,positive
2018-06-07T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.7269,positive
2018-06-07T00:00:00.000-07:00,DAL,Industrials,-0.3182,negative
2018-06-08T00:00:00.000-07:00,AAPL,Information Technology,0.5719,positive
2018-06-08T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.7421,positive
2018-06-09T00:00:00.000-07:00,XOM,Energy,0.1027,positive
2018-06-11T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9571,positive
2018-06-11T00:00:00.000-07:00,BA,Industrials,0.7845,positive
2018-06-12T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.2023,positive
2018-06-13T00:00:00.000-07:00,AAPL,Information Technology,0.8126,positive
2018-06-13T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.0,neutral
2018-06-14T00:00:00.000-07:00,BA,Industrials,0.7783,positive
2018-06-15T00:00:00.000-07:00,AAPL,Information Technology,0.4939,positive
2018-06-15T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.8519,negative
2018-06-17T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.4588,negative
2018-06-18T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.1531,positive
2018-06-18T00:00:00.000-07:00,AAPL,Information Technology,-0.0258,negative
2018-06-19T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.0,neutral
2018-06-19T00:00:00.000-07:00,AAPL,Information Technology,0.5859,positive
2018-06-20T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9756,positive
2018-06-20T00:00:00.000-07:00,EFX,Industrials,0.9186,positive
2018-06-20T00:00:00.000-07:00,XOM,Energy,0.4939,positive
2018-06-21T00:00:00.000-07:00,AAPL,Information Technology,0.3182,positive
2018-06-21T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9607,positive
2018-06-22T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.331,negative
2018-06-22T00:00:00.000-07:00,EFX,Industrials,0.9393,positive
2018-06-23T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.0,neutral
2018-06-24T00:00:00.000-07:00,KO,Consumer Staples,0.7506,positive
2018-06-25T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.3818,negative
2018-06-25T00:00:00.000-07:00,DAL,Industrials,-0.0516,negative
2018-06-26T00:00:00.000-07:00,AAPL,Information Technology,0.9201,positive
2018-06-26T00:00:00.000-07:00,ABT,Health Care,0.25,positive
2018-06-26T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9201,positive
2018-06-27T00:00:00.000-07:00,EFX,Industrials,0.4019,positive
2018-06-27T00:00:00.000-07:00,AAPL,Information Technology,0.25,positive
2018-06-28T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9837,positive
2018-06-28T00:00:00.000-07:00,EFX,Industrials,0.3182,positive
2018-06-29T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.0258,positive
2018-06-29T00:00:00.000-07:00,KO,Consumer Staples,-0.6815,negative
2018-07-02T00:00:00.000-07:00,ABC,Health Care,0.8625,positive
2018-07-02T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.886,positive
2018-07-03T00:00:00.000-07:00,AAPL,Information Technology,0.9201,positive
2018-07-03T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9201,positive
2018-07-05T00:00:00.000-07:00,AAPL,Information Technology,0.5267,positive
2018-07-05T00:00:00.000-07:00,BA,Industrials,0.6124,positive
2018-07-08T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.5574,negative
2018-07-09T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.34,positive
2018-07-10T00:00:00.000-07:00,AAPL,Information Technology,0.6597,positive
2018-07-10T00:00:00.000-07:00,BA,Industrials,0.3612,positive
2018-07-11T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.6908,positive
2018-07-11T00:00:00.000-07:00,AAPL,Information Technology,-0.7585,negative
2018-07-13T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9843,positive
2018-07-13T00:00:00.000-07:00,AAPL,Information Technology,-0.0516,negative
2018-07-14T00:00:00.000-07:00,AAPL,Information Technology,-0.4753,negative
2018-07-14T00:00:00.000-07:00,KO,Consumer Staples,-0.8625,negative
2018-07-15T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.1531,negative
2018-07-16T00:00:00.000-07:00,BA,Industrials,0.8658,positive
2018-07-18T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.5859,negative
2018-07-19T00:00:00.000-07:00,AAPL,Information Technology,-0.1531,negative
2018-07-19T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9477,positive
2018-07-19T00:00:00.000-07:00,ANTM,Health Care,0.5417,positive
2018-07-19T00:00:00.000-07:00,COP,Energy,-0.8074,negative
2018-07-19T00:00:00.000-07:00,XOM,Energy,-0.8074,negative
2018-07-20T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.9001,positive
2018-07-20T00:00:00.000-07:00,XOM,Energy,0.8957,positive
2018-07-22T00:00:00.000-07:00,AMZN,Consumer Discretionary,-0.25,negative
2018-07-24T00:00:00.000-07:00,BA,Industrials,0.9287,positive
2018-07-25T00:00:00.000-07:00,CMI,Industrials,0.8658,positive
2018-07-25T00:00:00.000-07:00,DAL,Industrials,0.4019,positive
2018-07-25T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.4019,positive
2018-07-26T00:00:00.000-07:00,AMZN,Consumer Discretionary,0.296,positive
