,symbol,start_date,sector
0,AMD,2018-04-01,Information Technology
1,ADSK,2018-04-01,Information Technology
2,AMZN,2018-04-01,Consumer Discretionary
3,BHF,2018-07-01,Financials
4,AMD,2018-07-01,Information Technology
5,AMZN,2018-07-01,Consumer Discretionary
6,ALLE,2018-10-01,Industrials
7,NEM,2018-10-01,Materials
8,GOOG,2018-10-01,Information Technology
10,COTY,2019-01-01,Consumer Staples
11,AZO,2019-01-01,Consumer Discretionary
9,BHF,2019-01-01,Financials
12,APC,2019-04-01,Energy
13,AZO,2019-04-01,Consumer Discretionary
14,CSX,2019-04-01,Industrials
15,CTXS,2019-07-01,Information Technology
16,DHI,2019-07-01,Consumer Discretionary
17,CMG,2019-07-01,Consumer Discretionary
18,DVN,2019-10-01,Energy
19,AMD,2019-10-01,Information Technology
20,GOOGL,2019-10-01,Information Technology
22,APH,2020-01-01,Information Technology
21,AMZN,2020-01-01,Consumer Discretionary
23,CTXS,2020-01-01,Information Technology
