,symbol,start_date,sector
0,AZO,2018-04-01,Consumer Discretionary
1,BLK,2018-04-01,Financials
2,BKNG,2018-04-01,Consumer Discretionary
3,BLK,2018-07-01,Financials
4,AZO,2018-07-01,Consumer Discretionary
5,BKNG,2018-07-01,Consumer Discretionary
6,BLK,2018-10-01,Financials
7,AZO,2018-10-01,Consumer Discretionary
8,BKNG,2018-10-01,Consumer Discretionary
10,CMG,2019-01-01,Consumer Discretionary
11,BKNG,2019-01-01,Consumer Discretionary
9,BLK,2019-01-01,Financials
12,EQIX,2019-04-01,Real Estate
13,AMZN,2019-04-01,Consumer Discretionary
14,BA,2019-04-01,Industrials
15,BLK,2019-07-01,Financials
16,EQIX,2019-07-01,Real Estate
17,BKNG,2019-07-01,Consumer Discretionary
18,SHW,2019-10-01,Materials
19,BLK,2019-10-01,Financials
20,BKNG,2019-10-01,Consumer Discretionary
22,BA,2020-01-01,Industrials
21,AMZN,2020-01-01,Consumer Discretionary
23,EQIX,2020-01-01,Real Estate
