,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,symbol,sector,label
0,-0.4800970474102111,0.04773711452945907,-2.0096111166392636,-0.6860464426550911,-0.1476617231580743,0.035076445212046455,-0.07336337753528085,-0.017022270486300558,MMM,Industrials,0
1,1.15089975947523,-0.4637140602755465,-0.1342542586724057,0.16499036719238264,-0.1716538698978544,0.09892840378382871,0.04730873956524374,0.06943489486507763,AOS,Industrials,2
2,1.5956204812183932,0.1393132368405993,-0.35857245982497365,0.5193929738593935,0.0738849925122225,0.12801361383383877,0.03320126379412797,0.15543731838744043,AYI,Industrials,2
3,-0.6659377086367027,-0.4093710974391613,-0.0676114587100738,-0.1052535040659427,0.04671402212305464,0.02065431166862677,0.05515753468865512,-0.05015625353586853,ALK,Industrials,0
4,-0.029951080912761552,-0.28117775426827346,-0.20725423690455858,0.20897830307943996,-0.27717070573822217,0.015349221961472408,0.03275844266111867,-0.0322456284371612,ALLE,Industrials,3
5,0.4711063125107206,-0.6139620623020889,0.3790345355626197,-1.0522926838871238,0.4310554473168071,0.031421551017874055,0.02108376973898889,-0.07515415352700494,AAL,Industrials,3
6,0.2176638005208714,-0.35619626118011083,-0.19527244541053257,0.22605958642544718,-0.1497199404691884,0.043606621021651346,0.018975898343825702,-0.0004648792764642026,AME,Industrials,3
7,1.331938522377737,-0.6066346562661376,-0.1253698180228476,0.22280320932167455,0.06956473532517123,-0.09912628509759447,0.028106997362752538,-0.1409364605216098,ARNC,Industrials,2
8,0.30032490262647116,-0.2545171810023504,-0.22057247087608,0.24328498594858647,-0.3924476136409183,0.06402895842030275,0.03667702322334483,-0.0018723567402185357,CHRW,Industrials,3
9,0.19990467845618387,0.23871357838925927,1.2399208667553827,-0.04219762432208168,0.15702991608099137,0.05954077720628904,0.039603639257495105,-0.02820459631440461,CAT,Industrials,3
10,0.20436597399686623,0.2711253622468256,-0.2975511051983051,0.22994722731203274,-0.21769091427233336,0.10434309767081555,-0.0627426034075773,0.017084681479629844,CTAS,Industrials,3
11,0.8607322940463095,-0.42994244592437497,0.21423473130996074,-0.7235911982718323,-0.18310640425461036,0.038769244845232524,0.029586288310743156,0.013664595301135686,CSX,Industrials,3
12,-0.5592052097787923,0.05270866116452654,-0.14731205594304345,-0.09068319567449457,-0.14423189966733954,0.04307048981939367,0.029047428390340645,-0.01387836052156503,CMI,Industrials,0
13,-2.0211254978449844,0.09419290808045323,-0.16991915236080854,-0.1191219810258077,0.039632821427010044,0.017088180351951,0.07819975732692064,-0.008922602381309219,DE,Industrials,1
14,-0.2628505702799734,0.0016241571643160055,3.5234264616413506,0.7757680583002055,-0.0853714964658952,0.03528303987844827,0.0059717841401172285,-0.02353235340846325,DAL,Industrials,3
15,1.4519391813807623,-0.2750347557251429,-0.27611317041976574,0.4350884026646597,-0.7437022043932215,0.06032006587644645,0.05534259524654206,-0.02391033276839286,DOV,Industrials,2
16,1.6556275972247596,-0.29606402436111,-0.22098968485447465,0.32193159207546207,-0.5961232195337394,0.15113179530053242,0.053063315288693326,0.09531501630889264,ETN,Industrials,2
17,1.8501032639146338,-0.36252052246586836,-0.037797558301008276,-0.08601816976093767,-0.4391565526077397,0.06784623232409397,0.04186704249297983,0.0327917336831721,EMR,Industrials,2
18,2.2563654228886088,0.298313196785597,1.6752584080861022,1.6066911571875302,-0.2143735329835613,0.26001373777756226,-0.06448221564232925,0.3466379567107294,EFX,Industrials,2
19,-1.8448055320044672,0.061908677823441366,2.9273317714597287,1.4030003114605947,-0.06901711453019337,0.007053599545953973,0.00716036912619393,0.014598592831853127,ABT,Health Care,0
20,-1.6650496042637766,-0.9803444682130442,-4.651086246404572,-1.856102990884936,0.11813748747472815,0.029285201764572912,0.12923939672846707,-0.02237840283384492,ABBV,Health Care,0
21,-3.3675480523762875,0.4798971345230117,3.191417203064309,0.6664754152797562,0.5502259376863795,-0.3848106904193767,-0.42750074032379504,-0.22881390683218186,AET,Health Care,1
22,-1.3579246645150056,-0.4234107031223819,-0.14693793139167147,0.05664877546750536,0.0019606499913504324,0.009241059169079502,0.0490051485912192,-0.016422963938519566,A,Health Care,0
23,1.9024571006413686,0.1425974001141716,-0.32257034877481666,0.4579889130984186,0.2404047749594267,-0.07581569275234423,0.04230659463279488,-0.03714339708839916,ALXN,Health Care,2
24,3.7528961715474445,1.5529257772661278,-0.7608377961019646,1.1389480036487356,1.1648422762441444,-0.1435672328588861,0.2464541613181029,0.31552469075981177,ALGN,Health Care,2
25,2.9661446446014743,0.32668482101434143,-0.43530543622456574,0.6812328696647774,-0.5800466837591043,0.037492075320560925,-0.0183394991435192,0.09428143137678836,AGN,Health Care,2
26,0.9353513198000585,-0.18691249093785015,-0.28887083604848557,0.42943498261456636,-0.21892963861412976,-0.0006505522182182819,0.05143548787877528,-0.0665754416638884,ABC,Health Care,3
27,-1.2827361341682115,0.9239423321840116,3.7347203656919237,1.4593684334026862,-0.1514562960452933,0.057262495365140754,-0.09531135716218206,0.03245775551403932,AMGN,Health Care,0
28,-1.4684494349393669,1.6753779690805344,5.6012260533645994,2.1315335805333953,-0.18411417667691082,0.017153335504457946,-0.18088721204838001,0.022795400097186155,ANTM,Health Care,0
29,0.19932787166908725,-0.3380466054242271,-0.4376627351795127,0.8116454313274616,-0.23507872871921995,0.10215419690537392,0.02498417185379688,0.051074500790031466,BAX,Health Care,3
30,0.4000548148980487,0.5821828078924363,-0.3346332000278863,0.202085842868666,-0.44692191128398223,0.022463981214081333,-0.11363038158329397,-0.031642594292631034,BDX,Health Care,3
