,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,symbol,sector,label
0,4.030845343743837,0.3897160990295404,0.33761102318145403,0.05286660211354466,0.22740252220873786,-0.19002342637681668,0.3347015685981103,MMM,Industrials,2
1,2.72086358782484,-0.41094696073701187,-0.2863561622098743,0.055568006756692434,-0.042751942327953214,-0.04780343200962898,0.07513925102515176,AOS,Industrials,2
2,-1.5016811976633362,0.06425315324252358,0.24858091131547175,0.28929694704691167,0.01850616045719705,0.10519430929328366,0.008726849243259926,AYI,Industrials,1
3,-1.7308353212863792,-0.5128565911391404,0.21694866466831425,-0.016101850963258307,0.10287020522714319,0.028737405445725197,0.06677791260033672,ALK,Industrials,1
4,-3.5005156307091387,-0.40859107530951194,0.47420824801800243,-0.5315693219863149,0.032853460378167026,0.0397789733787715,0.07097927156017521,ALLE,Industrials,1
5,0.2528484410402119,-0.5820126082894856,0.10844329369900305,0.12798273020943782,0.02205323453961606,0.0330117326486478,-0.03247680866408328,AAL,Industrials,0
6,-1.3657516075430853,-0.42649247370269183,0.12857221424755536,-0.26944521753255823,-0.0295946289554267,-0.019389535267885817,-0.013090835240454365,AME,Industrials,1
7,-5.00809960912054,-0.9010381666125675,-0.12204273662627294,0.1064926300637471,0.09225644431252801,-0.002031586593210431,0.2908114118893591,ARNC,Industrials,1
8,1.2861053927025985,-0.2569103230648597,-0.041634463709652694,0.16029629948202967,0.005876584111749853,-0.031682645210125225,0.023464139601746557,CHRW,Industrials,2
9,0.9836049555345139,0.0208321836187393,0.21803203296889723,0.11271145691139631,-0.006632577341239761,-0.020920028789934306,0.001237420705115454,CAT,Industrials,0
10,-3.0549054749427564,0.2517835781604952,0.4117044582258703,-0.7123246287087693,0.05441309776061303,-0.0557092656566743,0.06786580144323423,CTAS,Industrials,1
11,0.3285736186118324,-0.3845910615312045,0.556613280795759,0.006788630963779747,-0.02845148423104815,-0.03543843987014348,-0.01438668288799522,CSX,Industrials,0
12,-0.7834953086923565,0.13149819620190958,-0.11843128612993976,0.013712823774291089,0.026673603585761655,-0.00380514336628755,-0.018459223245625763,CMI,Industrials,1
13,-0.13774051317979472,0.18106829067847155,-0.30743244561575783,0.165260282846422,0.009614551912353783,0.047429363095373975,-0.032878142054809836,DE,Industrials,0
14,-1.2538488007609612,-0.5443693443097292,0.34217088481247604,-0.03680793228991836,0.023901230895824712,0.020457897843744192,-0.014212919208037604,DAL,Industrials,1
15,-0.6100023364241736,-0.3220646723969477,-0.10831272176360317,-0.08479176630714755,-0.004325488639933962,-0.03976412749423008,-0.016653115926899914,DOV,Industrials,0
16,0.06147062549607808,-0.3810332854094437,-0.09426632770712151,0.035565268668619844,0.0149976873456074,-0.0529541133837651,-0.022039578863824426,ETN,Industrials,0
17,1.3279720262655414,-0.3880676615369994,-0.24262330087457543,0.18592342484143212,-0.028792346598391055,-0.06033314641978514,-0.004595734982335473,EMR,Industrials,2
18,-2.2948177226470188,-0.22112879404883368,0.24084993765802085,-0.3158344106951522,0.026714291076538867,-0.01012897324472778,0.023842875038225683,EFX,Industrials,1
19,-1.0314614689981028,-0.41007702208665237,-1.151922909302258,-0.0031497949614994747,-0.06639045178359018,-0.01739986128384467,-0.045048262865824064,ABT,Health Care,1
20,2.1425537943114055,-0.23429691338844022,0.745797144083823,-0.123649685640973,0.21394143507610128,0.007587117385093324,0.07331676384263544,ABBV,Health Care,2
21,1.9584597920893503,-0.2604083218462139,-0.22503381210899615,0.08746966560750437,0.016911502801787485,-0.015923024889687623,0.08781439636106779,A,Health Care,2
22,0.8442039679847526,0.2414839434907439,-0.07095124145836329,0.06579526102098755,-0.01713781829353064,0.23342944713331445,-0.009641233124265397,ALXN,Health Care,0
23,0.8922544956299506,1.8305883457077239,-0.12181563815270795,0.09460862988775827,-0.01962503711566562,0.7460977905870498,0.06533407866455868,ALGN,Health Care,0
24,-1.5304091661842207,0.20845456611582286,1.1374875882195772,0.7069253178765007,0.12552933576879877,0.24583396049999426,-0.1455923865605704,AGN,Health Care,1
25,-0.9546012670094712,-0.29061971945082155,0.12424395538347792,0.20236206358675488,0.05758811295221043,0.08734614173933035,0.004772180589008447,ABC,Health Care,1
26,1.2425699821322216,0.3004931098166161,0.08864666722574767,0.2103119407661946,0.016673197982811323,-0.06037391054211277,0.023919341380877177,AMGN,Health Care,2
27,0.5664958807681877,1.240715851510432,-0.5333435720084663,0.1705352364306963,0.019061603612344605,0.33526871387756907,0.031647955301467794,ANTM,Health Care,0
28,0.2680212196789944,-0.3712989438466406,-0.6371447801191045,0.13290608840197296,-0.06856307871967615,-0.05128202354779306,-0.016127149348526233,BAX,Health Care,0
29,0.30491065625763875,0.678341083269414,-0.02221725329834195,0.09348591845537109,-0.027942109624202214,0.020435655212859935,-0.009099976849796871,BDX,Health Care,0
30,0.3315540590262697,0.7682262615435059,0.3061919852840805,0.07635135387899006,-0.04873607156003528,0.15784444661378377,0.021301436963689052,BIIB,Health Care,0
31,-2.0198497643487032,-0.6415831090074958,-1.6962236852333799,0.14863734301259815,-0.09432860391854933,0.02596124101745955,-0.023802256656435886,BSX,Health Care,1
32,1.1103917302892279,-0.5121169618602882,0.26935922289543446,0.07530188878106378,0.007796163343546314,-0.02614280980563726,-0.01827274981118388,BMY,Health Care,0
33,1.0351688721407921,-0.4624047955561598,-0.08049923776861856,0.06726526515948264,0.014709791058578708,0.02943411876276525,-0.035994489289673234,CAH,Health Care,0
