,symbol,start_date,sector
16,EQIX,2018-04-01,Real Estate
15,AMZN,2018-04-01,Consumer Discretionary
12,GOOGL,2018-07-01,Information Technology
11,AMZN,2018-07-01,Consumer Discretionary
10,GOOG,2018-07-01,Information Technology
3,AZO,2018-10-01,Consumer Discretionary
0,BKNG,2019-01-01,Consumer Discretionary
1,AMZN,2019-01-01,Consumer Discretionary
2,AAPL,2019-01-01,Information Technology
14,BKNG,2019-04-01,Consumer Discretionary
13,BIIB,2019-04-01,Health Care
9,AJG,2019-07-01,Financials
8,BKNG,2019-07-01,Consumer Discretionary
7,NEE,2019-07-01,Utilities
6,EFX,2019-10-01,Industrials
5,BKNG,2019-10-01,Consumer Discretionary
4,BIIB,2019-10-01,Health Care
17,AMZN,2020-01-01,Consumer Discretionary
18,BIIB,2020-01-01,Health Care
