,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,90.0,73.0,36.0
RSI,60.1,52.61,67.45,63.91
ROC,13.44,3.27,25.18,15.04
ADOSC,4340290.08,725320.62,3810111.21,14452798.7
ATR,2.73,2.97,3.22,1.12
EMA,127.73,132.21,152.72,65.86
Sharpe_ratio,1.36,0.47,2.22,1.83
average_returns,0.0,0.0,0.0,0.0
label,0.73,0.0,1.0,2.0
