,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,64.0,64.0,72.0
RSI,53.13,44.98,61.17,53.24
ROC,5.24,-7.08,18.83,4.1
ADOSC,1654170.26,-1628104.81,5098523.66,1510100.64
ATR,2.68,2.11,3.45,2.51
EMA,127.24,96.9,157.84,127.0
Sharpe_ratio,0.5,-0.45,1.46,0.51
average_returns,0.0,-0.0,0.0,0.0
label,1.04,0.0,1.0,2.0
