,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,76.0,59.0,65.0
RSI,54.84,54.85,63.49,46.98
ROC,5.99,5.76,17.21,-3.92
ADOSC,1990767.07,1585171.93,6174512.47,-1332552.12
ATR,2.48,1.87,2.92,2.81
EMA,134.45,104.66,158.97,147.02
Sharpe_ratio,0.68,0.69,1.7,-0.24
average_returns,0.0,0.0,0.0,-0.0
label,0.94,0.0,1.0,2.0
