,Overall,KM_1,KM_2,KM_3
Seg_size,200.0,55.0,67.0,78.0
RSI,42.7,51.31,35.36,42.93
ROC,-14.15,1.72,-28.75,-12.79
ADOSC,-4083443.45,1021695.91,-8179841.92,-4164519.96
ATR,3.88,2.67,2.68,5.78
EMA,126.21,106.97,79.26,180.1
Sharpe_ratio,-0.74,0.27,-1.61,-0.72
average_returns,-0.0,0.0,-0.0,-0.0
label,1.11,0.0,1.0,2.0
