,Overall,KM_1,KM_2,KM_3
Seg_size,195.0,29.0,84.0,82.0
RSI,41.36,42.69,46.48,35.65
ROC,-26.08,-20.88,-10.23,-44.16
ADOSC,-419777.76,1547992.65,3280849.44,-4906582.97
ATR,5.92,19.57,4.11,2.94
EMA,142.7,492.79,100.22,62.42
Sharpe_ratio,-0.61,-0.54,-0.17,-1.08
average_returns,-0.0,-0.0,-0.0,-0.01
label,1.27,0.0,1.0,2.0
