,Overall,KM_1,KM_2,KM_3
Seg_size,197.0,62.0,78.0,57.0
RSI,55.74,65.02,55.13,46.49
ROC,8.35,21.52,6.74,-3.77
ADOSC,2716240.96,8051850.55,955349.62,-677763.78
ATR,2.5,2.15,3.44,1.59
EMA,144.81,115.49,207.23,91.3
Sharpe_ratio,0.8,1.88,0.72,-0.28
average_returns,0.0,0.0,0.0,-0.0
label,0.97,0.0,1.0,2.0
