,Overall,KM_1,KM_2,KM_3
Seg_size,199.0,68.0,79.0,52.0
RSI,51.52,50.6,58.61,41.95
ROC,1.62,0.56,11.44,-11.92
ADOSC,404301.19,1343485.17,1693688.89,-2782739.93
ATR,2.67,2.0,3.37,2.48
EMA,135.1,96.26,181.78,114.96
Sharpe_ratio,0.31,0.19,1.11,-0.75
average_returns,0.0,0.0,0.0,-0.0
label,0.92,0.0,1.0,2.0
