,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,symbol,sector,label,Quarter
0,-2.3057864649159177,0.5668788488781001,-1.6256235678331443,1.3828079851434716,2.4052975220526918,0.5331494034947057,-0.052639480934626386,0.09123855321743407,MMM,Industrials,0,1
1,-1.936669236128147,-0.26953619392153555,1.934166846711568,0.04672859467270747,0.5661650607530894,-0.1556959996528095,-0.3666783943254708,0.04614375618022165,AOS,Industrials,1,1
2,-1.0130556102721195,0.19122177517769653,-0.08732345898794036,-0.5001553823218604,0.31757055417693986,0.06025046698710805,0.047015011534068084,-0.16987561490293107,AYI,Industrials,0,1
3,-0.029006824220371787,-0.4078944370366977,-1.0521946339758008,-0.4750108662171815,0.010053111056391194,0.15175514096166934,-0.050745420480515696,-0.059118615195491275,ALK,Industrials,3,1
4,-0.8616659813004311,-0.2930489846375538,-1.0467642505244787,-0.9136139830242986,0.3349020530144394,0.2959982516352613,0.1381467758244866,-0.02119922470230633,ALLE,Industrials,0,1
5,-3.520366100171997,-0.16223267641991854,0.2812077310936213,-0.8570700652264687,0.1678825960869077,0.28059729456513943,-0.1808446608693844,-0.07848544495193062,AAL,Industrials,0,1
6,-1.3717428097417652,-0.29466862622138257,-0.3459102049893694,-0.8205336153750555,0.4867442376055864,0.1974884257993003,-0.0030760693517703146,-0.0010490723167930083,AME,Industrials,0,1
7,-1.5408952048431652,-0.5247794854475383,-0.0994338084479586,-0.3477311956795606,-0.08272623956226141,0.24535018093538946,-0.041319958639742055,-0.029233484512300213,ARNC,Industrials,0,1
8,-1.6495723953087766,-0.114395209184218,-0.6850424185748615,-1.0170820306926138,0.4198061200538805,0.39962162832193204,0.060446652731116116,-0.05692524201246185,CHRW,Industrials,0,1
9,-2.0989279066041555,0.5044388101434064,-1.1522411247713853,2.920131201817576,1.6637790183620236,0.4253988958906687,-0.15535557617652349,-0.0754109409404484,CAT,Industrials,0,1
10,0.4629220953782354,0.2517193579907513,0.042882916454165164,0.2941557279407341,-0.1954027256740943,-0.2195078605044537,-0.09124922232553392,0.08274709184050325,CTAS,Industrials,3,1
11,1.769684534007672,-0.5562511773480001,-0.7018619666774564,0.5778565767504226,-0.61619279728501,0.07568477395507082,-0.07757354165035868,0.035331912447350435,CSX,Industrials,3,1
12,-2.519161365677621,0.3150655819816121,-0.7037939046584784,-1.5828813485855973,0.867097297028976,0.6391374585144723,0.1250222229013527,-0.07612436968717276,CMI,Industrials,0,1
13,-0.7986833387957092,0.29984521874692605,-0.7871737520906509,-0.6105428676212946,0.05662321142717385,0.3040648276185871,-0.01484054681546747,-0.1393583945433413,DE,Industrials,0,1
14,-1.1675582409809728,-0.3382142109396268,-1.5430064333930391,0.2051771729925316,0.2584916650362617,0.5874437373331192,-0.0462913583550414,-0.02415645593888561,DAL,Industrials,0,1
15,-1.7494043386429796,-0.12155110169390435,0.3089676501254478,-0.5811710730509659,0.4475679640269474,0.02064504966576561,-0.08024529111247887,-0.05507400362994935,DOV,Industrials,0,1
16,-1.1880739213025024,-0.2445570149019828,-0.1061356102424111,-0.526866624964723,0.2993584501764683,0.04798077561177173,-0.05155565561924652,-0.01709779602804021,ETN,Industrials,0,1
17,-0.6910665463981276,-0.30000206023741416,0.23695337271375835,-0.05149358196604024,0.04249197545035301,-0.16920491527739126,-0.11094205532588207,-0.014075395399692818,EMR,Industrials,0,1
18,0.10180294825775103,-0.14141730809469566,2.4986695716607867,-2.3836567223570917,-1.742962550932442,-0.4548757474642317,-0.04322638101160188,0.05300106409636193,EFX,Industrials,1,1
19,1.443689206386222,-0.6604442820039482,-0.5471479398515866,-1.7362117405024435,-0.738533998961965,-0.2633447470188832,0.2557665056200717,-0.030539374297696768,ABT,Health Care,3,1
20,-0.6055068537405852,-0.10964813585417768,-0.02271151718345417,-0.08997150920002116,-0.06705144653988568,-0.014345627648738497,-0.07788042063558717,-0.03804858099305433,ABBV,Health Care,0,1
21,2.1319651602008634,-0.11967057477148654,-0.06885176688189426,-2.6275743643520637,-2.300659560951876,-0.4414207459041871,0.4450524564870984,0.1712613250488115,AET,Health Care,3,1
22,-0.7242981230421123,-0.3479562590254848,-1.2184025873524018,-0.8298252555817129,0.1336895386095207,0.4391802697857538,0.018122977240582958,-0.05215108803221605,A,Health Care,0,1
23,0.7322564216011171,0.02581382030786301,0.011639288454916227,0.3130281801523801,-0.12481918896918992,-0.3615212971595191,-0.2071816972035876,-0.14702084276230992,ALXN,Health Care,3,1
24,2.5523685027326906,1.6996409774253407,3.350104126087317,2.192714557519684,-0.18127314697900335,1.3462190908117655,0.6289381064534959,-0.467834115738326,ALGN,Health Care,1,1
25,-0.4746801975276737,0.4128335722774753,0.34719586545364906,0.011391424016818962,0.05952716370549342,-0.06758658160698165,-0.03120806835751825,-0.12885121767012844,AGN,Health Care,0,1
26,-0.6957985327096701,-0.15038892911220209,-0.4200015655348051,-0.6196095264576297,0.4050885518623885,-0.017476216064632934,0.010850814949094342,-0.12293707363453454,ABC,Health Care,0,1
27,-0.04186480333759852,0.3634041442457948,-2.2607681751681135,3.4192011089914063,1.871536924233472,0.0636771672771433,-0.10912882244288212,0.05197291500292859,AMGN,Health Care,3,1
28,0.10039030610313088,0.7148190801162846,-3.769211731034056,5.306381434233632,3.433664706732982,0.4584269758105364,-0.04320829939341056,0.08551332894802477,ANTM,Health Care,3,1
29,0.7634362920088233,-0.4535524639839974,0.40682376800341785,0.530894830682746,-0.1298226809229144,-0.4426477570139073,-0.12463218616366832,0.030275168306702738,BAX,Health Care,3,1
