,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,76.0,52.0,20.0,51.0
RSI,51.52,58.8,51.09,49.71,41.83
ROC,1.62,11.74,1.11,-0.58,-12.07
ADOSC,404301.19,1443060.41,-66083.85,5679355.01,-2732693.99
ATR,2.67,3.26,2.55,1.24,2.47
EMA,135.1,176.69,123.06,58.58,115.39
Sharpe_ratio,0.31,1.13,0.23,0.1,-0.76
average_returns,0.0,0.0,0.0,0.0,-0.0
wtd_sentiment,0.11,0.11,0.11,0.07,0.13
label,1.23,0.0,1.0,2.0,3.0
