,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,199.0,38.0,53.0,59.0,49.0
RSI,60.1,67.74,67.41,57.79,49.05
ROC,13.44,17.62,27.48,11.2,-2.31
ADOSC,4340290.08,13629736.91,3401268.93,3044446.61,-287793.46
ATR,2.73,1.21,2.84,4.38,1.8
EMA,127.73,76.85,135.94,198.9,72.62
Sharpe_ratio,1.36,2.37,2.13,1.07,0.09
average_returns,0.0,0.0,0.0,0.0,0.0
wtd_sentiment,0.15,0.18,0.14,0.15,0.14
label,1.6,0.0,1.0,2.0,3.0
