,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,197.0,49.0,60.0,54.0,34.0
RSI,55.74,55.92,65.19,46.23,53.94
ROC,8.35,8.25,21.92,-4.07,4.26
ADOSC,2716240.96,930085.9,7996153.5,-875396.61,1677278.41
ATR,2.5,1.36,2.2,1.59,6.11
EMA,144.81,69.95,117.97,92.21,383.62
Sharpe_ratio,0.8,0.83,1.9,-0.3,0.56
average_returns,0.0,0.0,0.0,-0.0,0.0
wtd_sentiment,0.1,0.09,0.11,0.09,0.14
label,1.37,0.0,1.0,2.0,3.0
