,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,198.0,54.0,23.0,65.0,56.0
RSI,50.78,58.16,56.48,49.86,42.4
ROC,-0.37,9.36,9.21,-0.33,-13.74
ADOSC,679360.88,4197515.88,829216.27,946856.69,-3085179.69
ATR,2.9,1.35,10.89,2.02,2.13
EMA,139.57,75.64,553.62,95.03,82.84
Sharpe_ratio,0.22,1.1,0.82,0.09,-0.72
average_returns,0.0,0.0,0.0,0.0,-0.0
wtd_sentiment,0.1,0.09,0.1,0.09,0.11
label,1.62,0.0,1.0,2.0,3.0
