,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,195.0,6.0,48.0,58.0,83.0
RSI,41.36,42.93,48.91,33.79,42.18
ROC,-26.08,-19.19,-3.4,-50.63,-22.54
ADOSC,-419777.76,775087.96,4524137.84,-7013056.8,1242066.11
ATR,5.92,52.37,5.33,3.04,4.91
EMA,142.7,1372.08,127.45,60.59,120.04
Sharpe_ratio,-0.61,-0.56,0.07,-1.23,-0.57
average_returns,-0.0,-0.0,0.0,-0.01,-0.0
wtd_sentiment,0.04,0.06,0.01,0.04,0.05
label,2.12,0.0,1.0,2.0,3.0
