,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,52.0,47.0,49.0,52.0
RSI,53.13,51.01,62.23,56.24,44.1
ROC,5.24,1.29,21.71,8.01,-8.32
ADOSC,1654170.26,641299.32,5875050.47,2438329.05,-1886904.01
ATR,2.68,2.99,2.72,3.28,1.77
EMA,127.24,148.56,119.38,159.38,82.72
Sharpe_ratio,0.5,0.25,1.59,0.85,-0.55
average_returns,0.0,0.0,0.0,0.0,-0.0
wtd_sentiment,0.1,0.11,0.11,0.1,0.08
label,1.5,0.0,1.0,2.0,3.0
