,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,65.0,56.0,27.0,52.0
RSI,54.84,55.66,63.78,43.09,50.3
ROC,5.99,6.87,17.53,-9.04,0.28
ADOSC,1990767.07,1565637.34,6373450.48,-3864389.91,842544.01
ATR,2.48,2.65,2.88,3.0,1.58
EMA,134.45,143.08,157.38,154.02,88.8
Sharpe_ratio,0.68,0.78,1.73,-0.71,0.16
average_returns,0.0,0.0,0.0,-0.0,0.0
wtd_sentiment,0.12,0.13,0.1,0.11,0.11
label,1.33,0.0,1.0,2.0,3.0
