,Overall,KM_1,KM_2,KM_3,KM_4
Seg_size,200.0,49.0,38.0,59.0,54.0
RSI,42.7,46.04,52.83,34.96,40.97
ROC,-14.15,-6.78,4.02,-29.62,-16.71
ADOSC,-4083443.45,-1394956.9,1733617.54,-10250546.59,-3878352.22
ATR,3.88,5.62,2.44,2.55,4.78
EMA,126.21,192.61,101.43,72.83,141.71
Sharpe_ratio,-0.74,-0.36,0.45,-1.66,-0.94
average_returns,-0.0,-0.0,0.0,-0.01,-0.0
wtd_sentiment,0.11,0.11,0.11,0.1,0.11
label,1.59,0.0,1.0,2.0,3.0
