,symbol,start_date,sector
0,ADSK,2018-04-01,Information Technology
1,AMZN,2018-04-01,Consumer Discretionary
2,DVN,2018-04-01,Energy
3,AMD,2018-04-01,Information Technology
19,AMD,2018-07-01,Information Technology
18,AMZN,2018-07-01,Consumer Discretionary
17,AYI,2018-07-01,Industrials
16,BHF,2018-07-01,Financials
24,NEM,2018-10-01,Materials
9,AZO,2019-01-01,Consumer Discretionary
10,COTY,2019-01-01,Consumer Staples
7,AAP,2019-01-01,Consumer Discretionary
8,FCX,2019-01-01,Materials
11,DISCK,2019-04-01,Consumer Discretionary
13,AZO,2019-04-01,Consumer Discretionary
12,APC,2019-04-01,Energy
6,CMG,2019-07-01,Consumer Discretionary
5,AMGN,2019-07-01,Health Care
4,DHI,2019-07-01,Consumer Discretionary
23,AMD,2019-10-01,Information Technology
20,ALGN,2019-10-01,Health Care
21,ALXN,2019-10-01,Health Care
22,GOOGL,2019-10-01,Information Technology
14,AMZN,2020-01-01,Consumer Discretionary
15,CTXS,2020-01-01,Information Technology
