,symbol,start_date,sector
0,BLK,2018-04-01,Financials
1,AZO,2018-04-01,Consumer Discretionary
2,BKNG,2018-04-01,Consumer Discretionary
3,AMD,2018-04-01,Information Technology
23,BLK,2018-07-01,Financials
22,BKNG,2018-07-01,Consumer Discretionary
21,AMD,2018-07-01,Information Technology
20,AZO,2018-07-01,Consumer Discretionary
29,AZO,2018-10-01,Consumer Discretionary
28,ALGN,2018-10-01,Health Care
30,BKNG,2018-10-01,Consumer Discretionary
31,BLK,2018-10-01,Financials
8,BIIB,2019-01-01,Health Care
11,BLK,2019-01-01,Financials
9,CMG,2019-01-01,Consumer Discretionary
10,BKNG,2019-01-01,Consumer Discretionary
12,SHW,2019-04-01,Materials
14,EQIX,2019-04-01,Real Estate
13,MMM,2019-04-01,Industrials
15,AMZN,2019-04-01,Consumer Discretionary
7,ANTM,2019-07-01,Health Care
6,BKNG,2019-07-01,Consumer Discretionary
5,EQIX,2019-07-01,Real Estate
4,BLK,2019-07-01,Financials
24,SHW,2019-10-01,Materials
25,BLK,2019-10-01,Financials
26,BKNG,2019-10-01,Consumer Discretionary
27,AAPL,2019-10-01,Information Technology
17,BA,2020-01-01,Industrials
18,AMZN,2020-01-01,Consumer Discretionary
19,EQIX,2020-01-01,Real Estate
16,SHW,2020-01-01,Materials
