,symbol,start_date,sector
0,BA,2018-04-01,Industrials
1,AZO,2018-04-01,Consumer Discretionary
2,AMZN,2018-04-01,Consumer Discretionary
3,AMD,2018-04-01,Information Technology
19,CMG,2018-07-01,Consumer Discretionary
18,AMZN,2018-07-01,Consumer Discretionary
17,AMD,2018-07-01,Information Technology
16,AZO,2018-07-01,Consumer Discretionary
24,AZO,2018-10-01,Consumer Discretionary
9,BKNG,2019-01-01,Consumer Discretionary
10,BLK,2019-01-01,Financials
7,AYI,2019-01-01,Industrials
8,CMG,2019-01-01,Consumer Discretionary
11,SHW,2019-04-01,Materials
13,AMZN,2019-04-01,Consumer Discretionary
12,EQIX,2019-04-01,Real Estate
6,BKNG,2019-07-01,Consumer Discretionary
5,EQIX,2019-07-01,Real Estate
4,ECL,2019-07-01,Materials
23,AAPL,2019-10-01,Information Technology
20,SHW,2019-10-01,Materials
21,BLK,2019-10-01,Financials
22,BKNG,2019-10-01,Consumer Discretionary
14,AMZN,2020-01-01,Consumer Discretionary
15,EQIX,2020-01-01,Real Estate
