,symbol,sector
0,"KMX,AIZ","Consumer Discretionary,Financials"
1,"ADS,OXY,EQT","Information Technology,Energy,Energy"
2,"XEC,EOG,NOV","Energy,Energy,Energy"
3,"ATVI,K","Information Technology,Consumer Staples"
4,"CTAS,EFX,PLD,KMI","Industrials,Industrials,Real Estate,Energy"
5,"ACN,ANSS,FMC","Information Technology,Information Technology,Materials"
6,"APA,CVX,DVN,XOM","Energy,Energy,Energy,Energy"
7,"BBY,HST,BHGE","Consumer Discretionary,Real Estate,Energy"
8,"ADI,CDNS,DRI","Information Technology,Information Technology,Consumer Discretionary"
9,"AEE,AWK,CMS,FE,NI,MLM,DRE,EXR,HCP,KIM","Utilities,Utilities,Utilities,Utilities,Utilities,Materials,Real Estate,Real Estate,Real Estate,Real Estate"
10,"AVGO,AES","Information Technology,Utilities"
11,"EXC,DLR,FRT,IRM","Utilities,Real Estate,Real Estate,Real Estate"
12,"DISCA,DISCK","Consumer Discretionary,Consumer Discretionary"
13,"CF,SHW","Materials,Materials"
14,"CNC,COP,MRO","Health Care,Energy,Energy"
15,"BIIB,ADM","Health Care,Consumer Staples"
16,"ADP,HES","Information Technology,Energy"
17,"ADBE,AMD","Information Technology,Information Technology"
18,"CSX,ALXN","Industrials,Health Care"
19,"AAP,HRL","Consumer Discretionary,Consumer Staples"
20,"ABT,AVB","Health Care,Real Estate"
21,"CERN,BWA,PCG,BLK,MNST","Health Care,Consumer Discretionary,Utilities,Financials,Consumer Staples"
22,"AIG,STZ","Financials,Consumer Staples"
23,"AAL,AMG","Industrials,Financials"
24,"EMN,IP,NUE,KHC,HAL","Materials,Materials,Materials,Consumer Staples,Energy"
25,"BHF,ALB,LYB,MAC","Financials,Materials,Materials,Real Estate"
26,"DISH,COTY","Consumer Discretionary,Consumer Staples"
27,"DHI,EQIX","Consumer Discretionary,Real Estate"
28,"AMP,BAC","Financials,Financials"
29,"PKG,CAG","Materials,Consumer Staples"
30,"DE,D,EIX,CBOE,CB","Industrials,Utilities,Utilities,Financials,Financials"
31,"NEM,PPG","Materials,Materials"
32,"AKAM,CMCSA,DLTR,LNT,AEP,ED,DTE,ETR,ES,NEE,AMT,CCI,EQR,ESS,CPB,CL,EL,GIS","Information Technology,Consumer Discretionary,Consumer Discretionary,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Real Estate,Real Estate,Real Estate,Real Estate,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples"
33,"AMAT,CBRE","Information Technology,Real Estate"
34,"CNP,ARE,AIV,BXP","Utilities,Real Estate,Real Estate,Real Estate"
35,"ARNC,AGN,CVS","Industrials,Health Care,Consumer Staples"
36,"CAT,CCL,CXO","Industrials,Consumer Discretionary,Energy"
37,"CHRW,CAH,MPC","Industrials,Health Care,Energy"
38,"ALL,DFS","Financials,Financials"
39,"AME,ETN","Industrials,Industrials"
40,"ADSK,MO,HP","Information Technology,Consumer Staples,Energy"
41,"EMR,CELG,APH","Industrials,Health Care,Information Technology"
42,"HRB,IFF","Financials,Materials"
43,"ALK,DAL,DG,KO,KMB","Industrials,Industrials,Consumer Discretionary,Consumer Staples,Consumer Staples"
44,"MMM,CI","Industrials,Health Care"
45,"NRG,WBA","Utilities,Consumer Staples"
46,"AFL,APD","Financials,Materials"
47,"CINF,BLL,ECL","Financials,Materials,Materials"
48,"CHTR,AON","Consumer Discretionary,Financials"
49,"GOOGL,GOOG,AMZN,BKNG","Information Technology,Information Technology,Consumer Discretionary,Consumer Discretionary"
