,symbol,sector
0,"COF,LYB","Financials,Materials"
1,"ALB,MAC","Materials,Real Estate"
2,"DHI,CPB","Consumer Discretionary,Consumer Staples"
3,"CERN,MNST","Health Care,Consumer Staples"
4,"IP,NUE","Materials,Materials"
5,"BXP,CL,GIS,SJM","Real Estate,Consumer Staples,Consumer Staples,Consumer Staples"
6,"AKAM,EQIX,EL","Information Technology,Real Estate,Consumer Staples"
7,"EMN,KHC","Materials,Consumer Staples"
8,"CMCSA,LNT,ED,D,DUK,CB","Consumer Discretionary,Utilities,Utilities,Utilities,Utilities,Financials"
9,"DE,DLTR","Industrials,Consumer Discretionary"
10,"AEP,ETR,ES,NEE","Utilities,Utilities,Utilities,Utilities"
11,"DTE,ARE,AMT,AIV,CCI,EQR,ESS","Utilities,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate,Real Estate"
12,"CAT,CI","Industrials,Health Care"
13,"CHRW,ABC,CAH","Industrials,Health Care,Health Care"
14,"AYI,ALK,DAL","Industrials,Industrials,Industrials"
15,"CMI,ETN,APH,ADSK","Industrials,Industrials,Information Technology,Information Technology"
16,"DOV,AVY","Industrials,Materials"
17,"ORCL,DFS","Information Technology,Financials"
18,"HRB,IFF","Financials,Materials"
19,"DG,CINF,KMB","Consumer Discretionary,Financials,Consumer Staples"
20,"AON,AJG","Financials,Financials"
21,"APD,BLL,ECL","Materials,Materials,Materials"
22,"GOOGL,GOOG,AMZN,BKNG","Information Technology,Information Technology,Consumer Discretionary,Consumer Discretionary"
23,"BAX,DRE,KIM","Health Care,Real Estate,Real Estate"
24,"DRI,KMI","Consumer Discretionary,Energy"
25,"CTAS,PLD","Industrials,Real Estate"
26,"ADS,OXY","Information Technology,Energy"
27,"AEE,FE,NI,DLR,EXR,HCP","Utilities,Utilities,Utilities,Real Estate,Real Estate,Real Estate"
28,"ADI,EXC","Information Technology,Utilities"
29,"CNC,DISCK","Health Care,Consumer Discretionary"
30,"BIIB,ADM","Health Care,Consumer Staples"
