,Quarter Start Date_x,Sharpe Ratio,Portfolio Annualised Return,Portfolio Annualised_Volatility,Stock Portfolio,Stocks Weight Allocation,Portfolio Tag
0,2018-04-01,1.7878336227575213,0.23,0.12,"['AMZN', 'CAG']",[[100.   0.]],Good
1,2018-07-01,0.5221590659169628,0.06,0.1,"['GOOGL', 'BKNG']",[[  0. 100.]],Bad
2,2018-10-01,0.5720921720594092,0.1,0.15,"['AZO', 'CMCSA']",[[100.   0.]],Bad
3,2019-01-01,2.637171791765924,0.26,0.09,"['BKNG', 'KMI']",[[  0. 100.]],Very Good
4,2019-04-01,1.5094317312515746,0.23,0.14,"['ESS', 'BKNG', 'BIIB', 'APC', 'CPB']",[[36.88  0.   35.56 27.56  0.  ]],Good
5,2019-07-01,1.7212274813934232,0.2,0.11,"['AJG', 'DHI']",[[  0. 100.]],Good
6,2019-10-01,2.928643039920311,0.49,0.16,"['BKNG', 'AMD']",[[100.   0.]],Very Good
7,2020-01-01,0.4018009029650954,0.13,0.3,"['BIIB', 'EQIX', 'AOS']",[[ 0.   37.45 62.55]],Bad
