,symbol,sector,open,high,low,close
0,A,Health Care,65.45578947368422,66.02057192982454,64.7349298245614,65.35070175438597
1,AAL,Industrials,42.7580701754386,43.33183684210527,41.9619754385965,42.54333333333333
2,AAP,Consumer Discretionary,130.7533333333334,132.44484736842105,128.8669421052632,130.82035087719296
3,AAPL,Information Technology,186.80847192982458,188.24595438596486,185.07738245614036,186.58912280701753
4,ABBV,Health Care,96.61343859649124,97.59113859649123,95.40591929824562,96.47947368421052
5,ABC,Health Care,88.09017543859648,89.35622280701755,86.95911578947369,88.26438596491226
6,ABT,Health Care,62.40333333333332,62.83631578947366,61.81306315789473,62.36596491228068
7,ACN,Information Technology,158.0484210526315,159.09785263157892,156.74664736842107,158.00929824561405
8,ADBE,Information Technology,241.01561403508765,243.62584736842103,237.92255789473683,240.98754385964904
9,ADI,Information Technology,94.48684210526316,95.38597017543863,93.49456140350878,94.48842105263154
10,ADM,Consumer Staples,45.84982456140351,46.19982280701754,45.48579122807019,45.87421052631578
11,ADP,Information Technology,130.83719298245614,131.94245789473686,129.8040912280702,130.98491228070176
12,ADS,Information Technology,217.53649122807008,219.7973631578948,215.43245614035084,217.78736842105266
13,ADSK,Information Technology,135.07859649122804,136.807798245614,132.92602280701755,134.83052631578948
14,AEE,Utilities,59.0156140350877,59.53815789473683,58.683045614035066,59.21982456140352
15,AEP,Utilities,68.50421052631579,69.09635789473685,68.09260350877194,68.71438596491228
16,AES,Utilities,12.73298245614035,12.887794736842105,12.627403508771927,12.782807017543862
17,AET,Health Care,182.74727272727276,184.0341618181818,181.86918181818186,183.13836363636358
18,AFL,Financials,45.04245614035088,45.307156140350884,44.69863157894737,45.00035087719298
19,AGN,Health Care,165.22842105263157,166.88637894736843,162.79436315789474,164.75280701754386
20,AIG,Financials,53.315438596491234,53.76810877192984,52.8662649122807,53.38614035087719
21,AIV,Real Estate,41.31280701754386,41.66780701754387,40.99745614035089,41.35421052631578
22,AIZ,Financials,96.559298245614,97.77437017543859,95.59096666666665,96.75456140350877
23,AJG,Financials,68.73087719298248,69.21632631578947,68.21824736842107,68.74035087719298
24,AKAM,Information Technology,74.60421052631578,75.32535263157897,73.7562456140351,74.53736842105265
25,ALB,Materials,96.68684210526317,97.88635614035087,95.41685614035092,96.58105263157894
26,ALGN,Health Care,307.8022807017544,312.46984736842103,302.11568947368437,307.589298245614
27,ALK,Industrials,62.93807017543859,63.74721578947371,62.2047807017544,62.997719298245606
28,ALL,Financials,95.04298245614041,95.68838596491224,94.30510526315788,94.95543859649119
29,ALLE,Industrials,81.57719298245614,82.26491228070176,80.68316842105263,81.50298245614036
30,ALXN,Health Care,119.08403508771933,120.7749438596491,117.25609298245615,119.1115789473684
31,AMAT,Information Technology,48.98072280701755,49.53401578947368,48.107908771929814,48.699122807017524
32,AMD,Information Technology,15.051140350877192,15.436612280701755,14.687677192982457,15.09754385964912
33,AME,Industrials,74.5421052631579,75.05412807017545,73.73958245614034,74.37438596491228
34,AMG,Financials,157.6991228070176,159.31475789473686,155.81620701754395,157.31526315789475
35,AMGN,Health Care,181.8856140350877,183.71503508771926,180.11852807017542,182.01719298245612
36,AMP,Financials,141.7285964912281,143.20429824561404,140.14195964912278,141.49842105263156
37,AMT,Real Estate,141.29947368421054,142.5358263157895,140.2610385964912,141.5736842105263
38,AMZN,Consumer Discretionary,1646.173157894737,1662.112631578948,1624.661754385965,1643.2052631578945
39,ANSS,Information Technology,168.0832456140351,169.86472105263158,165.98701403508773,168.08666666666662
40,ANTM,Health Care,240.62087719298248,243.00043859649122,238.26927543859642,240.83982456140353
41,AON,Financials,143.07438596491227,144.18842105263158,142.04780526315787,143.0887719298246
42,AOS,Industrials,61.169649122807016,61.5926649122807,60.3642105263158,60.91543859649123
43,APA,Energy,41.93157894736843,42.61416315789472,41.40318771929824,42.03947368421053
44,APC,Energy,67.30684210526316,68.19846140350876,66.53883333333333,67.35684210526314
45,APD,Materials,163.33491228070176,164.4808421052631,161.7249315789474,163.26789473684215
46,APH,Information Technology,88.08175438596487,88.5913456140351,87.20655614035088,87.93175438596492
47,APTV,Consumer Discretionary,91.8367543859649,92.48718947368424,90.66645438596491,91.5219298245614
48,ARE,Real Estate,124.72561403508766,125.71042105263159,123.73887894736843,124.8273684210526
49,ARNC,Industrials,19.698947368421056,19.914666666666673,19.41816140350878,19.628421052631573
50,ATVI,Information Technology,70.71868421052632,71.5856192982456,69.8046105263158,70.6305263157895
51,AVB,Real Estate,168.10964912280699,169.5839087719298,166.78914035087715,168.35508771929824
52,AVGO,Information Technology,243.41245614035088,245.74639649122798,240.40320701754382,243.04929824561398
53,AVY,Materials,104.93807017543864,105.78464912280702,103.8986859649123,104.76175438596493
54,AWK,Utilities,84.06491228070175,84.82860701754386,83.58474912280704,84.33578947368422
55,AXP,Financials,99.96298245614037,100.75599473684208,99.03513333333333,99.90508771929822
56,AYI,Industrials,125.08456140350881,126.78766842105269,123.13996666666665,124.7919298245614
57,AZO,Consumer Discretionary,672.1926315789474,679.9571508771933,663.8381824561404,671.7115789473685
58,BA,Industrials,346.7133333333333,350.08870701754387,342.4243456140352,346.41438596491247
59,BAC,Financials,29.725614035087716,29.959017543859648,29.39172456140351,29.652456140350882
60,BAX,Health Care,70.83175438596493,71.42350877192982,70.25547368421051,70.89947368421053
61,BBY,Consumer Discretionary,74.00105263157896,74.98982807017542,73.03614385964914,73.95368421052632
62,BDX,Health Care,233.21807017543853,235.16043684210533,231.11785087719295,233.3387719298246
